X,Y,OBJECTID,FEATURE_ID,ESITE,CODE,NAME,ABB_NAME,ADDRESS,ZIPCODE,DISTRICT,NEWSTA,RESOLUTION,WEBSITE,PIN,MAJOR,MINOR
1282910.27956785,247313.344409347,16,660147,347263,66,Station 38,38,4004 NE 55th St,98105,SE,Y,added station manually/QC- changed zip from 98112,https://www.seattle.gov/fire/about-us/fire-stations,7974700165,797470,0165
1304772.37495118,245664.109518856,17,660154,40106,66,Station 22,22,6602 108th Ave NE,98033,KI,Y,added station manually/QC'd,https://www.kirklandwa.gov/Government/Departments/Fire-Department,6836200010,683620,0010
1284187.25011103,277844.843713686,18,660028,94139,66,Station 57,57,17020 Brookside Blvd NE,98155,16,Y,added station manually/QC- added district,https://shorelinefire.com/contact/,7611300010,761130,0010
1321089.00012627,203979.109227598,19,660008,244430,66,Station 8,8,5701 Lakemont Blvd SE,98006,BE,Y,added station manually/QC'd,https://bellevuewa.gov/city-government/departments/fire/about/fire-stations,2324059074,232405,9074
1282827.49987778,176186.828198105,20,660014,580434,66,Station 54,54,4237 S 144th St,98168,TU,Y,added station manually/QC'd,https://pugetsoundfire.org/about/fire-station-locations/,0040000365,004000,0365
1291295.12500286,155432.499956191,21,660021,799751,66,Station 76,76,20676 72nd Ave S,98032,KE,Y,added station manually/QC'd,https://pugetsoundfire.org/about/fire-station-locations/fire-station-76/,6314400101,631440,0101
1258629.87504478,208413.359217361,22,660060,460278,66,Station 32,32,3715 SW Alaska St,98126,SE,Y,added station manually/QC'd,https://www.seattle.gov/fire/about-us/fire-stations,6126600005,612660,0005
1316282.87489602,164361.125143528,23,660068,610016,66,Station 17,17,14810 SE Petrovitsky Rd,98058,40,Y,new to firestn added 3/12/03,https://rentonrfa.com/contact/?_ga=2.267932045.209083934.1674683462-1052599650.1666221656#our-locations,3523059040,352305,9040
1309131.62509094,200353.093841851,24,660100,237340,66,Station 9,9,12412 Newcastle Way,98006,BE,E,station # from 72/city from Renton/added zip/moved to current location/QC'd,https://bellevuewa.gov/city-government/departments/fire/about/fire-stations,1951820080,195182,0080
1296816.87511419,171767.484346524,25,660036,741432,66,Station 14,14,1900 Lind Ave SW,98055,RN,Y,added station manually/QC'd,https://rentonrfa.com/contact/?_ga=2.267932045.209083934.1674683462-1052599650.1666221656#our-locations,3340400425,334040,0425
1264615.49988453,198475.453240186,26,660043,483778,66,Station 11,11,1514 SW Holden St,98106,SE,Y,added station manually/QC'd,https://www.seattle.gov/fire/about-us/fire-stations,2112701145,211270,1145
1312321.24994527,231219.999955684,27,660006,116194,66,Station 6,6,1850 132nd Ave NE,98005,BE,Y,added station manually/QC'd,https://bellevuewa.gov/city-government/departments/fire/about/fire-stations,2725059254,272505,9254
1373743.25013253,235714.109405771,28,660095,153,66,Station 85,85,3600 Tolt Ave,98014,10,E,station # from 241/added zip/ moved to curernt location/QC- moved loc. south on tolt ave,http://www.eastsidefire-rescue.org/161/Fire-Stations,2125079064,212507,9064
1305490.85054836,229880.272320181,29,10001706,,66,Station 10,10,1225 112th Ave NE,98004,BE,Y,added new Bellevue fire station,https://bellevuewa.gov/city-government/departments/fire/about/fire-stations,1266200341,126620,0341
1271703.99062878,108086.04281202,30,10001707,,66,Station 60,60,35100 Pacific Hwy S,98003,39,Y,added station,https://wa-southkingfire2.civicplus.com/Facilities/Facility/Details/Station-60-12,2021049148,202104,9148
1292473.69876119,106003.652291775,31,10001708,,66,Station 35,35,2905 C St SW,98001,AU,N,aded station,https://www.vrfa.org/contact/,2521049114,252104,9114
1273427.24997753,251268.015633851,32,660046,341761,66,Station 16,16,6846 Oswego Pl NE,98115,SE,Y,added station manually/QC'd,https://www.seattle.gov/fire/about-us/fire-stations,9528103550,952810,3550
1274950.74988328,228046.953152195,33,660053,441707,66,Station 25,25,1300 E Pine St,98122,SE,Y,added station manually/QC'd,https://www.seattle.gov/fire/about-us/fire-stations,6003000740,600300,0740
1346792.99989927,92641.3046726882,34,660121,10,66,Station 94,94,39404 244th Ave SE,98022,44,E,added zip/moved to current location/QC'd,https://www.mvfire.org/Facilities/Facility/Details/Station-94-3,0220069011,022006,9011
1265150.00012785,187029.984333277,36,660136,504175,66,Station 18,18,1243 SW 112th ST,98146,11,N,in correct position/added zip/QC'd,http://www.northhighlinefd.org/,0723049107,072304,9107
1314311.12490253,278751.843868181,37,660078,21175,66,Station 31,31,17718 Woodinville Snohomish Rd,98072,36,E,"chaged address from19900 144th Ave SE/ added city, zip/moved point to current location/QC'd",https://wf-r.org/,9517100095,951710,0095
1322299.62500161,250024.8281596,38,660037,536736,66,Station 11 - HQ,11 - HQ,8450 161st Ave NE,98052,34,Y,added station manually/QC'd,https://www.redmond.gov/563/Station-Medic-Unit-Locator,0225059159,022505,9159
1276263.24988294,212038.937596098,39,660044,470903,66,Station 13,13,3601 Beacon Ave S,98144,SE,Y,added station manually/QC'd,https://www.seattle.gov/fire/about-us/fire-stations,1624049270,162404,9270
1271394.75010553,213194.312581941,40,660045,457985,66,Station 14,14,3224 4th Ave S,98134,SE,Y,added station manually/QC'd,https://www.seattle.gov/fire/about-us/fire-stations,7674800085,767480,0085
1273732.87502244,238079.39076443,41,660051,412689,66,Station 22,22,901 E Roanoke St,98102,SE,Y,added station manually/QC'd,https://www.seattle.gov/fire/about-us/fire-stations,5535100285,553510,0285
1266195.50000536,267443.625014856,42,660052,250355,66,Station 24,24,401 N 130th St,98133,SE,Y,added station manually/QC'd,https://www.seattle.gov/fire/about-us/fire-stations,2916200039,291620,0039
1284015.25012694,203402.750144109,43,660056,480060,66,Station 28,28,5968 Rainier Ave S,98118,SE,Y,added station manually/QC'd,https://www.seattle.gov/fire/about-us/fire-stations,8113101080,811310,1080
1299108.62512386,109252.468628764,44,660069,714146,66,Station 32,32,1951 R St SE,98002,AU,Y,new to firestn added 3/12/03,https://www.vrfa.org/contact/,1921059336,192105,9336
